"Text Editing","Previous Line","Ctrl+P","Editing Text"
"Navigate","Forward History","Ctrl+X Right","In Windows"
"Navigate","Backward History","Ctrl+X Ctrl+Left","In Windows"
"Text Editing","Forward Paragraph","Shift+Ctrl+Down","Editing Text"
"Search","Show Occurrences in File Quick Menu","Shift+Ctrl+U","In Windows"
"Text Editing","Copy to Register","Ctrl+X R S","Editing Text"
"Text Editing","Universal Argument","Alt+8","Editing Text"
"Edit","Incremental Find Reverse","Ctrl+R","Editing Text"
"Run/Debug","Step Return","Ctrl+X Ctrl+A Ctrl+F","Debugging"
"Source","Add Import","Shift+Ctrl+M","Editing Java Source"
"Text Editing","Kbd Macro Cycle Ring Previous","Ctrl+X Ctrl+K Ctrl+P","Editing Text"
"Text Editing","End Line","Shift+End","Editing Text"
"Text Editing","Scroll Line Down","Ctrl+Down","Editing Text"
"Edit","Select All","Ctrl+A","In Dialogs and Windows"
"Text Editing","End Buffer","Shift+Alt+.","Editing Text"
"Text Editing","Pop Global Mark","Ctrl+X Ctrl+Space","Editing Text"
"Text Editing","Set Mark Command","Ctrl+Space","Editing Text"
"Run/Debug","Step Into Selection","Ctrl+F5","Debugging"
"Navigate","Quick Outline","Ctrl+O","WikiText Markup Source Context"
"Edit","Quick Diff Toggle","Shift+Ctrl+Q","Editing Text"
"Text Editing","I-Search forward","Ctrl+S","Editing Text"
"gazonk.del","Delete Previous Word","Esc Backspace","In Console View"
"Navigate","Show In Breadcrumb","Shift+Alt+B","Editor Breadcrumb Navigation"
"Text Editing","Text End","Alt+>","Editing Text"
"Git","Commit","Ctrl+Alt+C","In Windows"
"Edit","Copy","Ctrl+Insert","In Dialogs and Windows"
"File","Close","Ctrl+F4","In Windows"
"Edit","Add Maven Plugin","Shift+Ctrl+P","Editing XML Source"
"Run/Debug","Force Return","Shift+Alt+F","In Windows"
"Window","Previous View","Shift+Ctrl+F7","In Windows"
"Run/Debug","Terminate","Ctrl+F2","Debugging"
"Window","Quick Switch Editor","Ctrl+X B","In Windows"
"Refactor - Java","Move - Refactoring ","Shift+Alt+V","In Windows"
"Text Editing","Copy to Register","Ctrl+X X","Editing Text"
"Text Editing","Clear Mark","Ctrl+G","Editing Text"
"Source","Toggle Comment","Esc Ctrl+C","Editing Properties Files"
"Text Editing","Scroll Down","Shift+Alt+V","Editing Text"
"Navigate","Deactivate Task","Shift+Ctrl+F9","In Windows"
"Navigate","Go To Next Unread Task","Alt+Down","In Tasks View"
"Run/Debug","Go to Address","Ctrl+G","In Table Memory Rendering"
"File","Close All","Shift+Ctrl+W","In Windows"
"Text Editing","Begin Buffer Other Window","Alt+Home","Editing Text"
"Text Editing","Open Rectangle","Ctrl+X R O","Editing Text"
"Task","New Subtask","Shift+Insert","In Tasks View"
"Run/Debug","Run Java Applet","Shift+Alt+X A","In Windows"
"Task","Mark Task Incomplete","Shift+Alt+I","In Tasks Editor"
"Source","Toggle Ant Mark Occurrences","Shift+Alt+O","Editing Ant Buildfiles"
"gazonk.del","Copy","Esc W","In Console View"
"Text Editing","Mark Sexp","Ctrl+Alt+Space","Editing Text"
"Edit","Select Enclosing Element","Shift+Alt+Up","Editing in Structured Text Editors"
"Text Editing","Lowercase","Alt+L","Editing Text"
"Window","Show Key Assist","Shift+Ctrl+L","In Dialogs and Windows"
"Text Editing","Next Line","Ctrl+N","Editing Text"
"Run/Debug","Run JUnit Test","Shift+Alt+X T","In Windows"
"Text Editing","Delete Rectangle","Ctrl+X R D","Editing Text"
"Views","Show View (Problems)","Shift+Alt+Q X","In Windows"
"Navigate","Open Resource","Ctrl+X Ctrl+F","In Windows"
"Text Editing","Begin Buffer","Shift+Alt+,","Editing Text"
"Source","Toggle Mark Occurrences","Shift+Alt+O","Editing Java Source"
"Run/Debug","Toggle Breakpoint","Ctrl+X Ctrl+A Space","In Windows"
"Text Editing","Collapse All","Shift+Ctrl+Numpad_Divide","Editing Text"
"Views","Show View (Variables)","Shift+Alt+Q V","In Windows"
"Text Editing","View Register","Ctrl+X R V","Editing Text"
"Navigate","Quick Hierarchy","Ctrl+T","Editing Java Source"
"View","Zoom Out","Ctrl+-","In Windows"
"Text Editing","Toggle Allow Edit","Ctrl+X Ctrl+Q","Editing Text"
"Text Editing","Line End","Ctrl+E","Editing Text"
"Text Editing","Transpose Lines","Ctrl+X Ctrl+T","Editing Text"
"Edit","Find Next","Ctrl+K","Editing Text"
"Navigate","Go To Previous Unread Task","Alt+Up","In Tasks View"
"Source","Remove Occurrence Annotations","Shift+Alt+U","Editing Java Source"
"Text Editing","Previous Word","Ctrl+Left","Editing Text"
"Task","Mark Task Complete","Shift+Alt+C","In Tasks View"
"Text Editing","Text End","Esc >","Editing Text"
"Edit","Find and Replace","Ctrl+F","In Windows"
"Run/Debug","Run to Line","Ctrl+R","Debugging"
"Window","Maximize Active View or Editor","Ctrl+M","In Windows"
"Text Editing","Join Other Windows","Ctrl+X 1","In Windows"
"Edit","Find and Replace","Alt+R","In Windows"
"Run/Debug","Debug Last Launched","F11","In Windows"
"View","Zoom In","Ctrl+=","In Windows"
"Edit","Select Enclosing Element","Shift+Alt+Up","Editing Java Source"
"Views","Show View (Type Hierarchy)","Shift+Alt+Q T","In Windows"
"Text Editing","Toggle Overwrite","Insert","Editing Text"
"Run/Debug","Debug Ant Build","Shift+Alt+D Q","In Windows"
"Run/Debug","Run Ant Build","Shift+Alt+X Q","In Windows"
"Text Editing","Yank-Pop","Esc Y","Editing Text"
"Text Editing","Text Start","Esc Shift+<","Editing Text"
"Text Editing","Yank","Ctrl+Y","Editing Text"
"Text Editing","Universal Argument","Alt+4","Editing Text"
"Navigate","Expand All","Shift+Ctrl+Numpad_Multiply","In Windows"
"Edit","Copy","Esc W","In Dialogs and Windows"
"Text Editing","Universal Argument","Ctrl+Alt+4","Editing Text"
"Refactor - Java","Inline","Shift+Alt+I","In Windows"
"Text Editing","Mark Whole Buffer","Ctrl+X H","Editing Text"
"Text Editing","Scroll Up","Ctrl+V","Editing Text"
"Text Editing","Next Word","Ctrl+Right","Editing Text"
"Run/Debug","Step Return","Ctrl+C Ctrl+F","Debugging"
"Text Editing","Scroll Down","Esc Shift+V","Editing Text"
"Text Editing","Exchange Point and Mark","Ctrl+X Ctrl+X","Editing Text"
"Text Editing","Universal Argument","Ctrl+5","Editing Text"
"Text Editing","Universal Argument","Alt+0","Editing Text"
"Views","Show View (Error Log)","Shift+Alt+Q L","In Windows"
"Text Editing","Comment Previous","Esc P","Editing Java Source"
"Navigate","Go to Line","Ctrl+X G","Editing Text"
"Task","Mark Task Incomplete","Shift+Alt+I","In Tasks View"
"Text Editing","End Line","Ctrl+E","Editing Text"
"Window","Next View","Ctrl+F7","In Windows"
"Views","Show View (Console)","Shift+Alt+Q C","In Windows"
"Edit","Remove Block Comment","Shift+Ctrl+\","Editing in Structured Text Editors"
"Edit","Format","Shift+Ctrl+F","Editing in Structured Text Editors"
"Text Editing","View Kbd Macro","Ctrl+X Ctrl+K Ctrl+E","Editing Text"
"Text Editing","Next Line","Down","Editing Text"
"Run/Debug","Step Over","F6","Debugging"
"Text Editing","Zap to Char","Alt+Z","In Windows"
"Text Editing","Mark Word","Alt+@","Editing Text"
"Text Editing","Delete Previous Word","Alt+Backspace","Editing Text"
"Text Editing","Previous Line","Up","Editing Text"
"Edit","Backward Sexp","Shift+Ctrl+Alt+B","Editing Text"
"Run/Debug","Debug Java Applet","Shift+Alt+D A","In Windows"
"Text Editing","Back To Indent","Alt+M","Editing Text"
"Run/Debug","Step Over","Ctrl+X Ctrl+A Ctrl+N","Debugging"
"Text Editing","Next Word","Esc F","Editing Text"
"Text Editing","Text Start","Ctrl+X [","Editing Text"
"Run/Debug","Run Last Launched","Ctrl+F11","In Windows"
"Task","Mark Task Complete","Shift+Alt+C","In Tasks Editor"
"Text Editing","Count Lines Buffer","Ctrl+X L","Editing Text"
"Navigate","Collapse All","Shift+Ctrl+Numpad_Divide","In Windows"
"Navigate","Search Repository for Task","Shift+Ctrl+F12","In Windows"
"Task","Mark Task Read","Shift+Alt+R","In Tasks Editor"
"Edit","Select Enclosing Element","Ctrl+Alt+U","Editing Java Source"
"Text Editing","Regexp I-Search forward","Ctrl+Alt+S","Editing Text"
"Window","Next View","Shift+Ctrl+Alt+L","In Windows"
"Text Editing","I-Search backward","Ctrl+R","Editing Text"
"Edit","Backward Kill Sexp","Ctrl+Alt+Backspace","Editing Text"
"Run/Debug","Step Into","Ctrl+X Ctrl+A Ctrl+S","Debugging"
"Edit","Forward Sexp","Shift+Ctrl+Alt+F","Editing Text"
"File","Save","Ctrl+S","In Windows"
"gazonk.del","Copy","Alt+W","In Console View"
"Text Editing","Select Line Start","Shift+Home","Editing Text"
"Navigate","Quick Hierarchy","Ctrl+[","Editing Java Source"
"Text Editing","Replace Rectangle","Ctrl+X R T","Editing Text"
"Navigate","Next Page","Alt+F7","In Windows"
"Source","Toggle Comment","Shift+Ctrl+C","Editing Java Source"
"Text Editing","Delete Next Word","Ctrl+Delete","Editing Text"
"Source","Toggle Comment","Esc ;","Editing Java Source"
"Git","Merge","Ctrl+Alt+M","In Windows"
"Text Editing","Delete Indentation","Alt+^","Editing Text"
"Refactor - Java","Rename - Refactoring ","Shift+Alt+R","In Windows"
"Text Editing","Yank Rectangle","Ctrl+X R Y","Editing Text"
"Run/Debug","Toggle Breakpoint","Ctrl+X Space","In Windows"
"Edit","Select Previous Element","Shift+Alt+Left","Editing Java Source"
"Text Editing","Widen","Ctrl+X N W","Editing Text"
"Edit","Toggle Comment","Esc ;","Editing in Structured Text Editors"
"Text Editing","Set Mark","Ctrl+Space","Editing Text"
"Text Editing","Line Start","Ctrl+A","Editing Text"
"Run/Debug","All Instances","Shift+Ctrl+N","In Windows"
"Edit","Backward Sexp","Alt+Left","Editing Text"
"Navigate","Open Maven POM","Shift+Alt+P","In Windows"
"Views","Show View (Breakpoints)","Shift+Alt+Q B","In Windows"
"Run/Debug","Close Rendering","Ctrl+W","In Memory View"
"Text Editing","Undo+","Ctrl+/","Editing Text"
"Text Editing","Swap Mark","Ctrl+X Ctrl+X","Editing Text"
"Text Editing","Join Lines","Ctrl+Alt+J","Editing Text"
"Text Editing","Universal Argument","Ctrl+Alt+3","Editing Text"
"Text Editing","Previous Column","Ctrl+B","Editing Text"
"Text Editing","Describe Bindings","Ctrl+H B","Editing Text"
"Text Editing","Yank-Pop","Alt+Y","Editing Text"
"Text Editing","Backward Paragraph","Shift+Alt+[","Editing Text"
"Run/Debug","Run to Line","Ctrl+X Ctrl+A Ctrl+U","Debugging"
"Run/Debug","Inspect","Shift+Ctrl+I","In Dialogs and Windows"
"Text Editing","Universal Argument","Ctrl+Alt+2","Editing Text"
"Text Editing","Where Is Command","Ctrl+H W","Editing Text"
"Text Editing","Universal Argument","Ctrl+6","Editing Text"
"Text Editing","Expand","Ctrl+Numpad_Add","Editing Text"
"Text Editing","Down List","Ctrl+Alt+D","Editing Text"
"WindowBuilder Pro","Empty command","Ctrl+Alt+A","WindowBuilder Java scope"
"Edit","Toggle Comment","Shift+Ctrl+C","Editing in Structured Text Editors"
"Text Editing","Text End","Ctrl+X ]","Editing Text"
"Edit","Kill Sexp","Ctrl+Alt+K","Editing Text"
"Text Editing","Page Up","Esc V","Editing Text"
"Edit","Undo","F9","In Windows"
"Git","Copy Path to Clipboard","Ctrl+C","In Git Repositories View"
"Run/Debug","Java Breakpoint Properties","Alt+Enter","In Breakpoints View"
"Text Editing","Universal Argument","Alt+9","Editing Text"
"Edit","Format Active Elements","Ctrl+Alt+\","Editing in Structured Text Editors"
"Edit","Incremental Find","Ctrl+J","Editing Text"
"Task","Show Tooltip Description","F4","In Tasks View"
"Text Editing","Reset Structure","Shift+Ctrl+Numpad_Multiply","Editing Text"
"Text Editing","Comment Next","Alt+N","Editing Java Source"
"Refactor - Java","Extract Local Variable","Shift+Alt+L","In Windows"
"Text Editing","Increment Register","Ctrl+X R +","Editing Text"
"Text Editing","Universal Argument","Alt+6","Editing Text"
"Text Editing","Comment Next","Esc N","Editing Java Source"
"File","Print","Esc F9","In Windows"
"Edit","Paste","Ctrl+V","In Dialogs and Windows"
